date,steps,week,month,day,m_name,year,label
2017-05-28,1477,2017-05-28,2017-05-01,1,5,1,
2017-05-29,1602,2017-05-28,2017-05-01,2,5,1,
2017-05-30,1018,2017-05-28,2017-05-01,3,5,1,
2017-05-31,1849,2017-05-28,2017-05-01,4,5,1,
2017-06-01,1746,2017-05-28,2017-06-01,5,6,1,
2017-06-02,1448,2017-05-28,2017-06-01,6,6,1,
2017-06-03,2130,2017-05-28,2017-06-01,7,6,1,
2017-06-04,370,2017-06-04,2017-06-01,1,6,1,
2017-06-05,1319,2017-06-04,2017-06-01,2,6,1,
2017-06-06,752,2017-06-04,2017-06-01,3,6,1,
2017-06-07,1025,2017-06-04,2017-06-01,4,6,1,
2017-06-08,887,2017-06-04,2017-06-01,5,6,1,
2017-06-09,1248,2017-06-04,2017-06-01,6,6,1,
2017-06-10,4323,2017-06-04,2017-06-01,7,6,1,
2017-06-11,1893,2017-06-11,2017-06-01,1,6,1,
2017-06-12,974,2017-06-11,2017-06-01,2,6,1,
2017-06-13,1600,2017-06-11,2017-06-01,3,6,1,
2017-06-14,1467,2017-06-11,2017-06-01,4,6,1,
2017-06-15,3040,2017-06-11,2017-06-01,5,6,1,
2017-06-16,3510,2017-06-11,2017-06-01,6,6,1,
2017-06-17,1251,2017-06-11,2017-06-01,7,6,1,
2017-06-18,2052,2017-06-18,2017-06-01,1,6,1,
2017-06-19,1261,2017-06-18,2017-06-01,2,6,1,
2017-06-20,3162,2017-06-18,2017-06-01,3,6,1,
2017-06-21,6197,2017-06-18,2017-06-01,4,6,1,
2017-06-22,2551,2017-06-18,2017-06-01,5,6,1,
2017-06-23,714,2017-06-18,2017-06-01,6,6,1,
2017-06-24,1674,2017-06-18,2017-06-01,7,6,1,
2017-06-25,3752,2017-06-25,2017-06-01,1,6,1,
2017-06-26,1096,2017-06-25,2017-06-01,2,6,1,
2017-06-27,2205,2017-06-25,2017-06-01,3,6,1,
2017-06-28,2984,2017-06-25,2017-06-01,4,6,1,
2017-06-29,2288,2017-06-25,2017-06-01,5,6,1,
2017-06-30,566,2017-06-25,2017-06-01,6,6,1,
2017-07-01,1011,2017-06-25,2017-07-01,7,7,1,
2017-07-02,433,2017-07-02,2017-07-01,1,7,1,
2017-07-03,1648,2017-07-02,2017-07-01,2,7,1,
2017-07-04,1866,2017-07-02,2017-07-01,3,7,1,
2017-07-05,718,2017-07-02,2017-07-01,4,7,1,
2017-07-06,3860,2017-07-02,2017-07-01,5,7,1,
2017-07-07,2039,2017-07-02,2017-07-01,6,7,1,
2017-07-08,3075,2017-07-02,2017-07-01,7,7,1,
2017-07-09,409,2017-07-09,2017-07-01,1,7,1,
2017-07-10,1334,2017-07-09,2017-07-01,2,7,1,
2017-07-11,1581,2017-07-09,2017-07-01,3,7,1,
2017-07-12,839,2017-07-09,2017-07-01,4,7,1,
2017-07-13,1148,2017-07-09,2017-07-01,5,7,1,
2017-07-14,1935,2017-07-09,2017-07-01,6,7,1,
2017-07-15,2061,2017-07-09,2017-07-01,7,7,1,
2017-07-16,481,2017-07-16,2017-07-01,1,7,1,
2017-07-17,799,2017-07-16,2017-07-01,2,7,1,
2017-07-18,3748,2017-07-16,2017-07-01,3,7,1,
2017-07-19,2088,2017-07-16,2017-07-01,4,7,1,
2017-07-20,3125,2017-07-16,2017-07-01,5,7,1,
2017-07-21,946,2017-07-16,2017-07-01,6,7,1,
2017-07-22,3791,2017-07-16,2017-07-01,7,7,1,
